word,Vowel,F1,F2
pād,ā,683,2344
akɨl,a,738,1424
akɨl,ɨ,805,1931
z'avun,a,612,1513
z'avun,u,581,2169
son,o,606,2605
kh'av,a,695,2130
nav,a,835,2409
ū̜ṭh,ū̜,480,2041
cōn,ō,1581,1830
necuv,e,581,1845
necuv,u,1154,1650
ā̜gun,ā̜,963,1028
ā̜gun,u,784,1638
t'al,a,853,1029
mas,a,814,1258
a̜grēz,a̜,1003,1438
a̜grēz,ē,631,1866
sīr,ī,661,2455
m'ōn,ō,574,1033
n'abar,a,655,1711
n'abar,a,797,1879
phal,a,804,1514
ṭə̄ṭh',ə̄,595,1367
s'aṭhā,a,602,1482
s'aṭhā,ā,720,1376
jān,ā,737,1171
go̜d,o̜,563,1169
āg'ā,ā,589,1984
az,a,902,2297
ṭang,a,777,1226
sūd,ū,558,1668
tsās,ā,698,1317
h'akun,a,667,1485
h'akun,u,665,1699
kam,a,796,1172
zānun,ā,679,1246
zānun,u,1176,1643
ku̜z,u̜,472,1454
raz,a,739,1189
dāth,ā,707,1420
kɨ̜̄tsh,ɨ̜̄,685,1850
chān,ā,785,1027
yaḍ,a,724,1375
sōn,ō,648,1802
gāḍ,ā,662,1126
r'ath,a,621,1583
g'ān,ā,870,1216
dɔd,ɔ,723,1394
th'akun,a,978,1557
th'akun,u,958,2289
ə̄ṭh,ə̄,684,1536
s'aṭhā,a,667,1450
s'aṭhā,ā,746,1357
gər,ə,674,1535
sir,i,420,2475
l'ədur,ə,547,1357
l'ədur,u,929,2189
bad,a,702,1086
sath,a,748,1058
tham,a,848,1001
tal,a,817,1158
ke̜h,e̜,483,2007
kun,u,759,1999
vath,a,743,1219
bahār,a,736,1216
bahār,ā,772,955
shām,ā,729,1075
ts'al,a,771,1191
b'ākh,ā,854,1099
khāb,ā,730,1152
ph'al,a,712,1047
gō̜d,ō̜,533,1705
ḍākh,ā,736,1163
tsh'oṭ,o,804,1696
tɨ̄r,ɨ̄,726,1913
reh,e,542,1482
k'ath,a,750,1629
